,group4,shh,shh,shh,group4,group3,group3,shh,group3,group4,group3,group4,group4,wnt,group4,group4,group4,shh,shh,wnt,group4,shh,group4,group4,shh,group3
miR-100-5p,0.276069388,0.095931702,0.076465009,0.302929079,0.262170626,0.044961551,0.331947915,0.059599089,0.369745185,0.269468944,0.039981467,0.257536159,0.241914337,0.245067455,0.371378218,0.302000493,0.320809582,0.093986736,0.120656255,0.183105306,0.26997578,0.16477602,0.245182342,0.28361085,0.209845862,0.155478738
miR-101-3p,0.058485389,0.16945493,0.084340525,0.078947139,0.038408199,0.060051793,0.044546685,0.021552473,0.059062089,0.062172534,0.022462265,0.086800755,0.041479239,0.073134193,0.063249525,0.083894189,0.045665608,0.086002777,0.103855712,0.063757651,0.060233907,0.092977956,0.056314499,0.078085953,0.084549244,0.069404783
miR-101-5p,0.003220535,0.005934017,0.004295523,0.00442331,0.002711818,0.003905506,0.002593448,0.000791024,0.00231487,0.002526437,0.001399243,0.005208596,0.002648741,0.004037403,0.003850214,0.004178268,0.002657274,0.003330602,0.005883795,0.003557094,0.00370628,0.004432377,0.00309537,0.005069588,0.005456533,0.005201146
miR-103a-2-5p,0.000611722,0.001974856,0.001341615,0.002777123,0.000996178,0.001320798,0.002963941,0.000685398,0.002667783,0.000809367,0.001039747,0.00192911,0.000705043,0.002082493,0.001343855,0.001586956,0.000709582,0.000769411,0.002052598,0.001690203,0.001439806,0.001835197,0.001324192,0.002232843,0.003781755,0.002299981
miR-103a-3p,0.025245513,0.057185783,0.030581767,0.075283607,0.029696524,0.055955835,0.088726246,0.021019647,0.083185788,0.027478152,0.031579812,0.061083884,0.027291451,0.059293434,0.051782584,0.044048738,0.021633099,0.022449942,0.048435555,0.053476417,0.046766233,0.045434545,0.034786593,0.074613523,0.111944113,0.08180191
miR-105-3p,1.20E-05,3.31E-05,0,0,0,0,0,1.41E-05,2.39E-05,0,0.000189045,0,4.83E-06,8.64E-05,4.65E-06,3.93E-05,3.66E-06,0,1.92E-05,1.67E-05,2.14E-05,2.15E-05,0,7.95E-06,7.90E-05,7.29E-05
miR-105-5p,8.40E-05,7.09E-05,9.41E-06,0,2.93E-05,4.95E-06,4.38E-05,0.000183086,0.000526379,4.54E-05,0.003035567,4.59E-06,3.86E-05,0.000765501,5.12E-05,0.000521837,4.57E-05,2.63E-05,3.85E-05,0.000203358,0.000173875,8.05E-05,5.59E-06,0.000111245,0.001358938,0.000760588
miR-106a-3p,9.00E-06,9.45E-06,3.53E-05,0.000100431,1.95E-05,1.24E-05,8.08E-05,4.93E-05,8.37E-05,2.52E-06,1.39E-05,6.43E-05,7.24E-06,1.23E-05,7.44E-05,1.79E-05,9.14E-06,0.000108034,5.77E-05,2.67E-05,4.27E-05,7.51E-05,4.47E-05,2.38E-05,9.14E-05,3.64E-05
miR-106a-5p,0.004446977,0.151903279,0.057338753,0.14015737,0.020154701,0.015847104,0.048305501,0.040783513,0.087576265,0.007773458,0.036505829,0.023916368,0.003769084,0.058947724,0.071038302,0.032243076,0.00763349,0.075520868,0.060486759,0.07164193,0.011786884,0.096052716,0.012571448,0.019447987,0.072900606,0.039413937
miR-106b-3p,0.001772194,0.009902627,0.007421251,0.015322207,0.004209341,0.003049708,0.004924184,0.003931648,0.007339395,0.00142963,0.001445729,0.007964468,0.001970258,0.002963231,0.01115074,0.003735064,0.001382587,0.005644105,0.010786958,0.005290635,0.003105344,0.01052287,0.005794041,0.007906332,0.004745895,0.010766645
miR-106b-5p,0.044892574,0.276465669,0.187228293,0.288812038,0.087592049,0.102839221,0.114984069,0.070016196,0.160342146,0.047036606,0.04131253,0.278930906,0.051195314,0.171731597,0.246762426,0.145281488,0.049026977,0.139853654,0.407058631,0.118967609,0.081678472,0.230102599,0.132262805,0.207114109,0.079437641,0.251230832
miR-107,0.019368187,0.042657835,0.02391135,0.059153589,0.022713511,0.043108971,0.063842615,0.016135014,0.061693983,0.02108894,0.025094949,0.045866882,0.019849864,0.042987431,0.037251282,0.034033762,0.017170781,0.018062718,0.03709579,0.038931338,0.03576026,0.034294576,0.026355342,0.056977239,0.081091639,0.060323273
miR-10a-3p,0,4.72E-05,4.71E-06,8.73E-05,6.51E-06,2.47E-06,1.35E-05,4.69E-06,2.99E-05,5.04E-06,3.10E-06,5.51E-05,4.83E-06,1.65E-05,1.86E-05,1.43E-05,3.66E-06,5.27E-06,5.77E-05,0,9.15E-06,9.66E-05,1.68E-05,3.18E-05,1.25E-05,9.11E-06
miR-10a-5p,9.00E-06,0.000902386,2.12E-05,0.002004244,3.58E-05,2.23E-05,0.000289658,0.000241767,0.001644934,5.04E-05,3.72E-05,0.000895658,2.17E-05,3.70E-05,0.000172051,0.000139395,2.01E-05,2.37E-05,0.000134597,2.33E-05,0.000234884,0.001239563,0.000167619,0.000937635,0.000241035,0.000573857
