,group4,shh,shh,shh,group4,group3,group3,shh,group3,group4,group3,group4,group4,wnt,group4,group4,group4,shh,shh,wnt,group4,shh,group4,group4,shh,group3
miR-181d-5p,0.009085866,0.017759531,0.010860022,0.027238509,0.014405516,0.037657587,0.018076672,0.012585968,0.042188061,0.009530869,0.014700573,0.049633239,0.011980906,0.00968812,0.073805062,0.034287532,0.008897204,0.014494969,0.019814545,0.008811057,0.010539256,0.033242826,0.018773362,0.020556463,0.037925603,0.030856185
miR-182-3p,0,0,4.71E-06,0,3.26E-06,0.001761064,4.38E-05,0,0.000275153,1.26E-05,0.001957081,0.000615478,0,0.00024282,0.000172051,3.57E-06,0,0,1.92E-05,0.00022336,0,0,7.82E-05,3.97E-06,0.000120517,0.001070288
miR-182-5p,5.40E-05,0.000108664,0.000378947,0.000104797,0.000446001,0.301896359,0.00300099,0.000342699,0.023573394,0.00177254,0.269733121,0.092381394,3.62E-05,0.029673468,0.029364854,0.000453926,7.13E-05,3.16E-05,0.000269193,0.048019096,0.000652793,8.05E-05,0.009029093,0.001422345,0.031409348,0.141300833
miR-183-3p,0,0,2.35E-06,0,3.26E-06,0.000944841,3.37E-06,0,0.000382821,5.04E-06,0.001228792,0.000275587,0,9.88E-05,0.000186001,7.15E-06,0,0,1.92E-05,0.000213359,9.15E-06,0,3.35E-05,1.19E-05,0.000224412,0.000564748
miR-183-5p,4.20E-05,2.83E-05,0.000162406,6.99E-05,0.000172541,0.167892239,0.001801941,0.000126752,0.011442756,0.000937959,0.187785214,0.043023742,4.83E-06,0.010906337,0.014494101,0.000285938,3.11E-05,2.63E-06,9.61E-05,0.021112534,0.000460616,1.61E-05,0.004967119,0.000790633,0.009849187,0.087800079
miR-184,1.50E-05,9.45E-06,2.35E-06,4.37E-06,3.26E-06,2.47E-06,6.74E-06,2.35E-06,1.20E-05,5.04E-06,4.65E-06,4.59E-06,2.41E-06,9.88E-05,0,3.57E-06,0,2.63E-06,2.40E-05,0.000603406,1.22E-05,1.61E-05,6.15E-05,3.18E-05,0.000336618,2.73E-05
miR-185-3p,1.50E-05,1.89E-05,4.00E-05,8.73E-06,4.88E-05,1.48E-05,5.39E-05,5.16E-05,6.58E-05,1.76E-05,3.10E-06,6.43E-05,1.21E-05,5.35E-05,2.79E-05,4.29E-05,2.38E-05,1.05E-05,6.25E-05,3.33E-05,5.49E-05,2.68E-05,5.59E-05,5.96E-05,0.0002161,6.38E-05
miR-185-5p,0.00202108,0.003571749,0.004594444,0.004047787,0.007207641,0.004835506,0.00623438,0.00675774,0.004683575,0.00198938,0.00192454,0.006591125,0.0019606,0.005502556,0.005798571,0.004289069,0.002187267,0.001067163,0.00644141,0.002243603,0.004810537,0.005409002,0.005408516,0.007306404,0.023920641,0.007013804
miR-186-3p,7.20E-05,0.000179532,0.000136515,0.000314391,0.000120453,9.89E-05,0.000218927,0.000105626,0.00034095,6.30E-05,5.73E-05,0.000142387,5.07E-05,0.000432138,0.000218551,0.000175137,6.04E-05,0.000123844,0.00035572,0.000233361,0.000146421,0.00012342,0.000139683,0.000174813,0.000398954,0.00023683
miR-186-5p,0.007586548,0.033251284,0.023169931,0.029884636,0.010824484,0.014662343,0.025631353,0.010440579,0.05,0.007889442,0.006690953,0.020016811,0.006536137,0.026072319,0.01972072,0.021845658,0.006799549,0.016249858,0.040422249,0.022242669,0.013653751,0.036950782,0.010185666,0.014608835,0.031284675,0.024457227
miR-187-3p,0.002254974,0.000198431,0.000138869,0.000445388,0.000332059,0.00013109,0.000653414,0.000100932,0.000663955,0.000383252,0.000991711,0.000629257,8.93E-05,0.000399213,0.000520802,0.00041461,0.000978418,0.000171273,0.000346106,0.000983451,0.00013727,0.00027367,0.000558731,0.001060799,0.000714793,0.002063152
miR-187-5p,5.10E-05,0.000217329,9.65E-05,0.000231427,0.000185563,0.00012367,0.000127988,5.63E-05,0.000376839,4.03E-05,4.49E-05,0.000188318,2.41E-05,4.94E-05,0.0001395,0.000110801,6.95E-05,9.22E-05,0.000302842,0.000156685,6.10E-05,0.000193179,0.000346413,0.000254274,0.000357397,0.000223167
miR-188-3p,0.000101954,4.72E-05,6.12E-05,0.002458365,0.000130219,1.24E-05,0.001347246,2.35E-05,0.000281134,7.56E-05,4.03E-05,0.000114828,0.000173846,0.000267514,6.98E-05,0.000167989,0.000109729,1.84E-05,0.000163439,0.000186689,1.83E-05,0.000182447,0.000245842,0.000278112,0.000232723,0.000314255
miR-188-5p,0.000275874,0.000349616,0.000630795,0.027042015,0.000615286,9.40E-05,0.003489367,0.000199516,0.002159349,0.000176498,0.000187495,0.000587919,0.000494979,0.001551581,0.000279001,0.000561153,0.000488295,0.000102764,0.000879685,0.000763425,0.000100664,0.001003456,0.000759874,0.000997231,0.001171929,0.000797023
miR-18a-3p,0.000161926,0.002352819,0.001162733,0.003414638,0.000517622,0.000465,0.001367455,0.000920123,0.004635722,0.000133634,0.001140468,0.000601699,8.45E-05,0.001041247,0.002292458,0.000607618,0.00020117,0.001093512,0.001004668,0.001983571,0.000222682,0.001652751,0.000284953,0.000603901,0.005535492,0.001083952
miR-18a-5p,0.000620718,0.009964046,0.00747774,0.024618582,0.002741117,0.003400931,0.009818054,0.006910311,0.032581649,0.000675734,0.008355169,0.003738799,0.000480492,0.00910782,0.013605948,0.003474146,0.000771762,0.007211912,0.006479866,0.009227774,0.001211023,0.00862328,0.001408002,0.003083072,0.040639324,0.007405484
miR-18b-3p,1.50E-05,0.000132287,5.88E-05,0.000165929,3.58E-05,2.47E-05,7.41E-05,4.69E-05,0.000287116,5.04E-06,4.18E-05,4.59E-05,7.24E-06,3.70E-05,9.30E-05,5.72E-05,7.32E-06,6.85E-05,8.65E-05,5.33E-05,2.14E-05,0.000101955,4.47E-05,3.58E-05,0.000274281,9.11E-05
miR-18b-5p,0.000269877,0.003467809,0.002471397,0.007877248,0.000940835,0.001167447,0.003172764,0.002267446,0.010671133,0.000274832,0.002454486,0.001433053,0.000159359,0.002761567,0.004050164,0.001004357,0.000296269,0.002416267,0.002456388,0.002636983,0.000521625,0.00274743,0.000514033,0.001295208,0.011544743,0.002240774
miR-1908-5p,0.000245888,0.000737028,0.000447205,0.001261932,0.000481812,0.000264654,0.000528794,0.000356782,0.00178251,0.000229447,0.000285117,0.000610885,9.90E-05,0.00065438,0.001120654,0.000528985,0.000215801,0.000519089,0.001504598,0.000730088,0.00027759,0.000692223,0.000961017,0.000663496,0.001649843,0.00074237
miR-1909-3p,1.80E-05,0.000184257,0.000124747,0.000179028,0.000218117,0.000103883,0.000215559,7.04E-05,0.0004546,2.52E-05,2.01E-05,0.000229656,1.69E-05,0.000604993,0.0001023,6.79E-05,6.40E-05,4.22E-05,0.000773931,0.000146684,1.53E-05,0.000118054,0.000625779,0.000560197,0.000353241,0.000368908
miR-1909-5p,1.20E-05,8.03E-05,4.24E-05,0.000157196,5.86E-05,1.73E-05,5.73E-05,2.11E-05,0.0002273,1.26E-05,7.75E-06,5.05E-05,7.24E-06,0.00010289,0.00012555,5.00E-05,3.11E-05,3.16E-05,0.000115369,8.00E-05,1.83E-05,7.51E-05,9.50E-05,7.15E-05,0.000116362,8.65E-05
miR-190a-3p,3.00E-06,0,7.06E-06,0,0,0,3.37E-06,4.69E-06,1.20E-05,0,0,0,0,0,2.79E-05,3.57E-06,0,5.27E-06,0,0,0,1.61E-05,0,3.97E-06,0,0
miR-190a-5p,0,1.89E-05,4.71E-06,8.73E-06,0,1.24E-05,3.37E-06,7.04E-06,5.98E-06,1.01E-05,1.08E-05,2.30E-05,2.41E-06,0,0,7.15E-06,5.49E-06,1.84E-05,0,0,0,2.15E-05,0,1.19E-05,8.73E-05,4.55E-06
miR-190b,6.00E-06,9.45E-06,0,1.75E-05,0,4.95E-06,3.37E-06,2.35E-06,5.98E-06,2.52E-06,3.10E-06,0,0,4.12E-06,0,3.57E-06,0,5.27E-06,9.61E-06,0,3.05E-06,1.61E-05,0,0,1.66E-05,2.73E-05
miR-1910-3p,6.30E-05,0.000543322,0.000289506,0.000541452,0.001380325,0.000328963,0.000720777,0.000298101,0.001902141,3.53E-05,0.000105369,0.001102348,4.35E-05,0.000201664,7.91E-05,0.000264493,8.78E-05,7.11E-05,0.000682597,0.000153352,5.80E-05,0.000305866,0.003045084,0.001827594,0.001450366,0.001384543
miR-1910-5p,6.00E-06,3.31E-05,5.18E-05,7.86E-05,2.60E-05,0.000138511,8.76E-05,9.39E-06,9.57E-05,1.51E-05,9.61E-05,0.000101049,1.69E-05,0.00041156,6.98E-05,1.43E-05,4.02E-05,3.16E-05,0.000312456,5.33E-05,6.10E-06,4.83E-05,0.000201143,0.000107272,0.000224412,9.56E-05
miR-1911-3p,6.00E-06,9.45E-06,4.71E-06,2.18E-05,6.51E-06,4.95E-06,5.73E-05,1.17E-05,4.19E-05,5.04E-06,6.20E-06,9.19E-06,4.83E-06,2.47E-05,4.65E-06,1.79E-05,5.49E-06,2.63E-06,1.92E-05,1.67E-05,0,2.15E-05,5.59E-05,1.59E-05,3.74E-05,4.10E-05
miR-1911-5p,7.50E-05,0,2.35E-06,0,9.77E-06,4.45E-05,0.004846717,0,0,1.51E-05,0,1.38E-05,2.41E-05,8.23E-06,0,3.57E-05,1.10E-05,0,1.92E-05,3.33E-06,6.10E-06,2.15E-05,0.000150857,5.16E-05,8.31E-06,0.000204949
miR-1912,0.001004543,4.72E-06,2.35E-06,8.73E-06,1.95E-05,6.43E-05,0.002138753,2.35E-06,2.39E-05,0.000272311,3.10E-06,5.05E-05,0.000548099,0,5.58E-05,0.000357422,0.000146306,1.05E-05,9.61E-06,1.33E-05,0.000161673,1.61E-05,0.000391112,0.000679388,4.16E-05,0.000136633
miR-1913,9.00E-06,0.000278748,0.000188297,0.000165929,0.000615286,0.000366064,0.000781403,0.000199516,0.002685728,2.77E-05,1.86E-05,0.000468498,3.38E-05,0.000958935,0.000181351,8.58E-05,0.000109729,3.16E-05,0.000716246,0.000180022,2.75E-05,0.000144884,0.000419048,0.000452926,0.002742812,0.001184149
miR-191-3p,4.20E-05,1.42E-05,3.77E-05,6.55E-05,4.56E-05,8.41E-05,5.73E-05,6.57E-05,0.000137576,3.03E-05,3.56E-05,5.51E-05,5.31E-05,0.00010289,9.77E-05,7.15E-05,3.84E-05,1.05E-05,7.69E-05,0.000100012,9.46E-05,7.51E-05,0.000106159,8.34E-05,8.73E-05,0.000127524
miR-1914-3p,3.30E-05,0.000425208,0.00037424,0.000423555,0.001012455,0.000299282,0.000970017,0.000286365,0.001238186,1.26E-05,7.13E-05,0.001263108,6.28E-05,0.000288092,0.000186001,0.000200157,0.000100585,0.000105399,0.000682597,0.000160019,3.66E-05,0.000316598,0.003654101,0.002209005,0.001030632,0.001821767
miR-1914-5p,1.20E-05,9.92E-05,9.41E-05,0.000117897,7.81E-05,5.19E-05,0.000117884,3.52E-05,0.000287116,7.56E-06,3.25E-05,0.000128607,9.66E-06,0.001629777,8.37E-05,4.65E-05,0.000100585,3.16E-05,0.001230598,0.000120014,1.53E-05,9.66E-05,0.000307302,0.000512521,0.000519472,0.000769697
miR-1915-3p,0.000182917,0.001965407,0.001438117,0.002720358,0.000983156,0.000776649,0.000700568,0.001809732,0.008505802,0.000151284,0.000286667,0.001382529,0.000185919,0.002576365,0.001567056,0.001376076,0.000316386,0.002405727,0.004811829,0.003063701,0.000546028,0.002275215,0.002961274,0.001334938,0.007434682,0.001361771
miR-1915-5p,1.50E-05,1.89E-05,2.59E-05,1.75E-05,1.30E-05,9.89E-06,2.69E-05,2.35E-06,9.57E-05,0,1.39E-05,0,7.24E-06,9.88E-05,3.26E-05,1.43E-05,1.10E-05,1.32E-05,0.000168246,3.00E-05,1.83E-05,3.76E-05,1.12E-05,3.58E-05,4.99E-05,4.55E-05
miR-191-5p,0.028073227,0.02932047,0.01863433,0.066288524,0.029628159,0.053717404,0.050181541,0.023275356,0.048050006,0.03015083,0.020114698,0.054373338,0.028090661,0.075340154,0.047202318,0.047169036,0.025923508,0.021019154,0.033029049,0.058103639,0.067140094,0.037111765,0.032015287,0.052932693,0.063292454,0.07263842
miR-192-3p,5.70E-05,0.000137012,0.000138869,0.000130996,9.44E-05,8.16E-05,0.000134725,5.40E-05,8.97E-05,2.77E-05,4.49E-05,0.000197504,4.35E-05,0.000201664,0.000176701,0.000110801,3.11E-05,9.22E-05,0.000158632,0.000213359,0.000115917,0.00017708,4.47E-05,6.36E-05,8.31E-05,0.000159405
miR-192-5p,0.001949113,0.004474136,0.004818046,0.003563101,0.003180608,0.004024229,0.002694492,0.001455297,0.000969015,0.001472494,0.001482919,0.005764364,0.001284531,0.007934875,0.00553352,0.003752935,0.001651423,0.001802319,0.004739724,0.006307424,0.003202958,0.004909957,0.001916447,0.002657958,0.005410819,0.005160156
miR-193a-3p,0.000125943,0.001355942,0.002687938,0.000633149,0.000309271,0.00069008,0.00192993,0.001100861,0.028783347,7.31E-05,0.000485009,0.001175838,0.000103825,0.131044786,0.002297108,0.000328829,0.000104243,0.000163368,0.001192141,0.082386553,0.00027759,0.001266393,0.001307431,0.00110053,0.006279376,0.001402761
miR-193a-5p,9.60E-05,0.000491352,0.000870873,0.000270726,0.000244161,0.000257234,0.000842029,0.000436589,0.007058261,4.54E-05,0.000176649,0.000578733,3.14E-05,0.021220028,0.001455455,0.000128672,6.40E-05,0.000110669,0.000466281,0.029686896,0.000250136,0.000692223,0.000921906,0.000711173,0.003544876,0.000756033
miR-193b-3p,0.008210264,0.005248959,0.00405309,0.008606461,0.007956403,0.000969575,0.019235303,0.00251156,0.113398732,0.006616138,0.004819098,0.004735505,0.003773913,0.009157208,0.029583405,0.018643153,0.012843795,0.0009117,0.007268217,0.005694017,0.022841664,0.009106227,0.001581209,0.012844809,0.021672367,0.010671002
miR-193b-5p,0.000206906,0.00010394,7.06E-05,0.00012663,0.000341826,4.95E-05,0.000316603,7.04E-05,0.000939108,0.000173976,7.90E-05,0.000257215,8.45E-05,0.000115237,0.000455702,0.000296661,0.000265179,1.84E-05,0.000115369,7.67E-05,0.000506372,0.000118054,0.00020673,0.000584036,0.000502849,0.000423561
miR-194-3p,9.00E-06,4.25E-05,3.30E-05,1.31E-05,1.95E-05,1.98E-05,2.36E-05,1.17E-05,1.79E-05,5.04E-06,1.70E-05,2.76E-05,7.24E-06,4.94E-05,6.05E-05,3.57E-05,5.49E-06,1.05E-05,5.29E-05,3.67E-05,3.97E-05,5.90E-05,1.68E-05,1.59E-05,4.57E-05,5.47E-05
miR-194-5p,0.00292367,0.008716769,0.007261198,0.00589047,0.004378626,0.004125639,0.003496103,0.002999789,0.002506281,0.002349939,0.002218954,0.006972354,0.00188092,0.011622451,0.008170079,0.005683016,0.002357348,0.002774623,0.008138288,0.01177808,0.005548743,0.007818369,0.002860703,0.004084276,0.008240902,0.007824491
miR-195-3p,0.000200909,0.001672486,0.000882642,0.001375462,0.000286483,2.47E-05,0.000191983,0.00070887,0.000508434,0.000209276,6.66E-05,0.000349077,0.000270428,0.001917869,0.000316201,0.000303809,0.000177395,0.001017098,0.002860178,0.001353496,0.00028064,0.001550795,0.000396699,0.000806525,0.000452979,0.000523758
miR-195-5p,0.037021155,0.207142553,0.100237489,0.193442322,0.034208624,0.005352448,0.02971014,0.051240523,0.044975476,0.030435747,0.009080358,0.057753873,0.055278287,0.285939468,0.034331072,0.042990768,0.029815234,0.120028141,0.253786732,0.185248897,0.041937393,0.171977291,0.065332417,0.145035499,0.074712524,0.07087586
miR-196a-3p,9.00E-06,4.72E-06,7.06E-06,2.62E-05,3.26E-06,1.24E-05,0.000656782,2.35E-06,8.37E-05,5.04E-06,0,0.00035367,0,5.35E-05,0.000255751,0,1.83E-06,2.63E-06,4.33E-05,3.33E-06,0,0,5.03E-05,0.000174813,1.66E-05,2.73E-05
miR-196a-5p,1.80E-05,0,7.06E-06,0.000170295,0,0.001056144,0.018645883,2.35E-06,0.002518244,1.01E-05,3.10E-06,0.023186063,0,8.23E-06,0.006970375,3.93E-05,1.83E-06,0,2.88E-05,3.33E-06,6.10E-06,3.22E-05,0.005252071,0.004084276,2.49E-05,0.000318809
miR-196b-3p,2.10E-05,3.31E-05,1.41E-05,0.003292375,2.28E-05,4.95E-06,0.001135055,1.17E-05,4.19E-05,2.77E-05,4.65E-06,0.000284773,2.17E-05,3.70E-05,0.000860253,0.001551213,3.66E-06,1.32E-05,8.65E-05,2.33E-05,0.000244035,9.12E-05,1.68E-05,9.14E-05,7.90E-05,0.000491877
miR-196b-5p,0.000494775,9.45E-05,0.000131808,0.11174426,0.000113942,1.73E-05,0.027773474,4.46E-05,2.39E-05,0.001152277,1.08E-05,0.008942802,0.000417714,2.88E-05,0.027318847,0.046940285,1.65E-05,5.27E-06,6.25E-05,0,0.006476075,0.001862028,0.000106159,0.002093787,3.32E-05,0.016081652
miR-197-3p,0.004938753,0.016053973,0.012022756,0.012868209,0.007214152,0.007244602,0.010144762,0.004849424,0.011364996,0.004631801,0.002834125,0.008965767,0.004010537,0.006021121,0.012113293,0.008792591,0.00444403,0.008866673,0.017954228,0.009257778,0.008962181,0.020616455,0.00662655,0.010083553,0.021169518,0.012406236
miR-197-5p,0.00017692,0.001285074,0.001249821,0.00155449,0.002448124,0.000507048,0.001583014,0.000845011,0.002572078,0.000151284,0.000272721,0.002370049,0.000103825,0.000530912,0.000660302,0.000889982,0.000288953,0.00043477,0.003263968,0.000516729,0.000301993,0.000783447,0.006162803,0.003730676,0.002426973,0.002773641
miR-1976,3.00E-05,8.50E-05,3.77E-05,9.61E-05,2.60E-05,2.97E-05,7.07E-05,3.29E-05,7.18E-05,3.53E-05,1.24E-05,7.81E-05,3.62E-05,0.000300439,1.86E-05,3.93E-05,4.57E-05,1.84E-05,0.000312456,5.67E-05,6.10E-05,5.90E-05,5.03E-05,0.000218517,0.000253502,0.000145741
miR-198,2.10E-05,0.000292921,0.000134162,0.000550185,0.00054041,7.91E-05,0.001034011,0.000246462,0.000628066,0,2.32E-05,0.000767051,1.45E-05,0.00013993,5.12E-05,0.000103652,5.30E-05,6.59E-05,0.000264386,0.000110013,3.97E-05,0.000284402,0.002301972,0.001938839,0.000735572,0.001106724
miR-199a-3p,0.000566742,0.051648627,0.004850998,0.104002375,0.012390372,0.001617607,0.02513624,0.062016759,0.027981816,0.001096806,0.002403351,0.04627567,0.00234451,0.002901497,0.007026175,0.016884635,0.002701166,0.006858826,0.080580111,0.00422384,0.002190213,0.108330293,0.038250725,0.024748011,0.010896442,0.019661425
miR-199a-5p,0.00039582,0.028805496,0.002742073,0.060651314,0.005573388,0.000942367,0.009841631,0.027582565,0.017340591,0.000516886,0.001300072,0.013618597,0.001185535,0.001386957,0.002599359,0.005929638,0.000903437,0.002223914,0.039552178,0.000663413,0.000936484,0.038887935,0.016281422,0.010945701,0.006657552,0.012415345
miR-199b-5p,2.70E-05,0.014343691,0.001398104,0.016854865,0.004140975,0.000187979,0.007824131,0.015360421,0.004348606,0.000274832,0.00055164,0.016484703,0.000482906,0.001349916,0.002101807,0.006169111,0.00106803,0.002577,0.028774834,0.004100492,0.000646692,0.042418811,0.008258044,0.005303996,0.002202561,0.00407165
miR-19a-3p,0.02068159,0.232763712,0.12207522,0.266555756,0.052019377,0.034113198,0.097032017,0.080003756,0.204366551,0.023943158,0.071406324,0.066756386,0.015443344,0.192441291,0.16607534,0.080041175,0.026355109,0.128135943,0.15887208,0.135832967,0.03302707,0.218179184,0.026880549,0.03671478,0.20090679,0.092113114
miR-19a-5p,3.60E-05,0.000359065,0.000181236,0.000349324,7.49E-05,3.46E-05,0.000114516,0.000143182,0.000185429,5.29E-05,8.21E-05,0.000137794,1.93E-05,0.000255167,0.000260401,0.000139395,3.47E-05,0.000268767,0.000307649,0.00017002,4.58E-05,0.000257572,1.68E-05,3.18E-05,0.000195321,0.000100197
miR-19b-1-5p,0.000377828,0.005815904,0.002520824,0.004100186,0.000970134,0.000571356,0.001289988,0.001633688,0.00208757,0.000436201,0.001228792,0.001621371,0.000398398,0.003905703,0.003817664,0.002391156,0.000475493,0.002677129,0.002937091,0.003397074,0.000936484,0.004024555,0.00066489,0.000754876,0.001762049,0.001430087
miR-19b-2-5p,6.00E-06,1.42E-05,7.06E-06,3.93E-05,0,2.47E-06,1.35E-05,7.04E-06,4.79E-05,0,0,1.38E-05,7.24E-06,1.23E-05,1.86E-05,1.79E-05,0,7.90E-06,1.92E-05,2.33E-05,6.10E-06,1.07E-05,1.12E-05,3.97E-06,4.16E-05,0
miR-19b-3p,0.067898106,1,0.378940406,0.724174068,0.161712905,0.124798108,0.306653374,0.235016313,0.465300873,0.080558539,0.238641417,0.249796755,0.056492796,0.592053602,0.566376661,0.340462719,0.085568607,0.462176327,0.464574651,0.564837781,0.135256328,0.720491962,0.113969951,0.142639761,0.475719884,0.330901274
miR-200a-3p,3.60E-05,0.000236227,9.89E-05,5.24E-05,3.91E-05,1.98E-05,7.75E-05,5.63E-05,3.59E-05,3.53E-05,4.65E-06,5.05E-05,7.24E-06,0.00027163,8.84E-05,3.57E-06,2.19E-05,0.000121209,0.000235544,0.000290035,1.83E-05,8.05E-05,2.23E-05,9.54E-05,0.0012592,2.28E-05
miR-200a-5p,3.00E-06,1.89E-05,1.88E-05,3.06E-05,2.93E-05,2.47E-06,1.35E-05,2.35E-06,7.78E-05,7.56E-06,1.55E-06,1.84E-05,0,3.70E-05,2.33E-05,2.14E-05,1.83E-06,7.90E-06,6.25E-05,2.00E-05,1.22E-05,3.22E-05,0,7.95E-06,3.74E-05,9.11E-06
miR-200b-3p,1.50E-05,0.000392136,0.000108271,0.00011353,3.58E-05,9.89E-06,4.72E-05,5.40E-05,1.79E-05,2.27E-05,6.20E-06,5.51E-05,9.66E-06,0.000234589,4.65E-05,2.14E-05,1.46E-05,0.000126479,0.000418211,0.000256697,9.15E-06,0.000128786,5.59E-05,5.56E-05,0.000868557,2.73E-05
miR-200b-5p,0,1.42E-05,2.35E-06,0,3.26E-06,2.47E-06,0,0,1.20E-05,0,0,0,0,2.88E-05,0,3.57E-06,1.83E-06,2.63E-06,1.44E-05,1.33E-05,3.05E-06,2.68E-05,0,0,4.99E-05,0
miR-200c-3p,7.50E-05,5.20E-05,5.65E-05,7.86E-05,5.86E-05,0.000150878,9.09E-05,6.10E-05,8.37E-05,1.51E-05,0.000114667,5.51E-05,1.93E-05,8.23E-06,0.0001023,7.51E-05,2.74E-05,3.95E-05,0.000100947,4.67E-05,6.41E-05,0.000252205,8.38E-05,9.14E-05,0.000278437,0.000141187
miR-200c-5p,0,9.45E-06,9.41E-06,8.73E-06,6.51E-06,0,3.37E-06,0,1.20E-05,2.52E-06,1.55E-06,9.19E-06,4.83E-06,4.12E-06,9.30E-06,3.57E-06,3.66E-06,1.05E-05,3.36E-05,3.33E-06,6.10E-06,2.15E-05,5.59E-06,0,2.49E-05,4.55E-06
miR-202-3p,3.00E-06,1.89E-05,7.06E-06,4.80E-05,5.53E-05,3.22E-05,5.05E-05,2.35E-05,4.19E-05,0,1.55E-06,0.000137794,0,0,4.65E-06,1.07E-05,1.83E-06,5.27E-06,5.29E-05,3.33E-06,1.22E-05,1.61E-05,0.000335239,0.000182759,5.82E-05,0.000191286
miR-202-5p,0,0,4.71E-06,0,3.26E-06,0,0,2.35E-06,0,0,0,0,2.41E-06,0,0,0,0,0,0,0,3.05E-06,5.37E-06,0,0,0,0
miR-203b-3p,3.00E-06,0,0,0,0,2.47E-05,3.37E-06,2.35E-06,1.20E-05,0,4.65E-06,0,0,1.23E-05,0,0,0,5.27E-06,9.61E-06,1.00E-05,3.05E-06,1.61E-05,5.59E-06,1.99E-05,1.25E-05,1.82E-05
miR-203b-5p,0,0,1.65E-05,0,0,0,0,0,0,0,0,0,0,0,4.65E-06,0,1.83E-06,0,4.81E-06,0,3.05E-06,0,0,0,4.16E-06,0
miR-204-3p,0.004147113,0.001152787,0.000442498,0.000624416,0.005778484,0.00079891,0.003809338,0.000457714,0.002219165,0.001896088,0.000145658,0.010458531,0.00118795,0.006473837,0.003478212,0.002916567,0.001892828,0.000389976,0.000730667,0.009384459,0.005304708,0.000778081,0.004933595,0.00718324,0.003341243,0.00376195
miR-204-5p,0.465442224,0.058007852,0.004321413,0.000611316,0.312422275,0.041063465,0.397211875,0.001009319,0.001010886,0.273104794,0.008341223,0.741742721,0.126907782,0.856324441,0.244037516,0.359702768,0.293108462,0.013675493,0.007994078,1,0.523991678,0.043524222,0.065231845,0.347481297,0.193758857,0.110326233
miR-2052,0,0,2.35E-06,0,0,0,6.74E-06,0,0,0,0,0,0,0,4.65E-06,0,0,0,0,0,6.10E-06,5.37E-06,0,0,0,0
miR-2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30E-06,0,0,0,0,0,0,0,0,0,0,0
miR-205-3p,9.00E-06,0,2.35E-06,0,0,0,0,0,0,0,0,0,0,4.12E-05,9.30E-06,0,0,0,2.88E-05,0,6.10E-06,0,0,7.95E-06,2.08E-05,9.11E-06
miR-2054,0,0,2.35E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81E-06,0,1.22E-05,5.37E-06,0,0,0,0
miR-205-5p,9.00E-06,4.72E-06,4.71E-06,2.18E-05,3.26E-06,2.47E-06,3.37E-06,9.39E-06,9.57E-05,0,1.55E-06,4.59E-06,0,2.88E-05,9.30E-06,0,6.40E-05,2.63E-06,3.85E-05,1.00E-05,3.05E-06,2.68E-05,0,8.34E-05,3.74E-05,5.47E-05
miR-206,1.20E-05,9.45E-06,1.88E-05,4.37E-06,6.19E-05,9.89E-06,0.000458064,4.69E-06,2.39E-05,2.52E-06,9.30E-06,3.22E-05,0,4.12E-06,4.65E-06,3.22E-05,4.94E-05,2.11E-05,1.92E-05,6.67E-05,1.53E-05,0,0.000201143,0.000627739,0.004995242,0.001735233
miR-208a-3p,3.00E-06,3.78E-05,1.65E-05,0,0,2.47E-06,3.37E-06,2.35E-06,0,0,2.32E-05,0,2.41E-06,4.12E-06,9.30E-06,0,1.83E-06,1.32E-05,9.61E-06,1.33E-05,3.05E-06,3.76E-05,1.12E-05,3.97E-06,1.25E-05,9.11E-06
miR-208a-5p,3.00E-06,0,9.41E-06,0,0,0,3.37E-06,0,0,0,0,0,0,8.23E-06,0,0,3.66E-06,0,0,0,0,0,0,0,0,4.55E-06
miR-208b-3p,0.000101954,0.000420484,0.000416607,9.17E-05,1.63E-05,1.73E-05,6.40E-05,3.05E-05,1.20E-05,3.28E-05,6.66E-05,4.13E-05,4.83E-06,7.00E-05,3.26E-05,6.08E-05,5.12E-05,0.000732522,0.000860457,7.67E-05,4.58E-05,0.000804911,7.26E-05,0.000333735,5.40E-05,0.000441779
miR-208b-5p,0,9.45E-06,2.35E-06,8.73E-06,6.51E-06,0,0,2.35E-06,1.79E-05,0,4.65E-06,4.59E-06,4.83E-06,1.23E-05,9.30E-06,0,0,1.32E-05,3.85E-05,1.33E-05,0,3.76E-05,0,0,8.31E-06,3.19E-05
miR-20a-3p,0.001355383,0.030511053,0.008056753,0.017304619,0.003333615,0.002122181,0.007123563,0.004926883,0.009241536,0.001742283,0.004039675,0.00592053,0.001231411,0.018018092,0.012587595,0.007323585,0.001876368,0.0117546,0.010541799,0.014795109,0.002830805,0.016554337,0.001894098,0.002332169,0.008560897,0.006107475
miR-20a-5p,0.011388818,0.506942706,0.199693547,0.413621001,0.056811449,0.045152003,0.126428923,0.122366969,0.229644694,0.018194379,0.116622169,0.070086397,0.011140649,0.198561187,0.242758762,0.109971728,0.021733684,0.228847122,0.214407607,0.24716966,0.032627462,0.345108287,0.02928868,0.048876228,0.23597322,0.114616495
